date,sst,reserve_rate,prob_lolp,risk_level,risk_name,risk_emoji,optimal_production,optimal_loss_억,maintain_loss_억,saving_억
2024-07-01,24.1,21.3,0.7675,2,위험,🔴,20,44.08,84.42,40.34
2024-07-02,24.0,19.9,0.5352,1,주의,🟡,54,49.92,58.87,8.95
2024-07-03,24.7,23.2,0.571,1,주의,🟡,47,49.96,62.81,12.86
2024-07-04,24.9,16.9,0.8222,2,위험,🔴,20,41.52,90.44,48.92
2024-07-05,25.7,23.9,0.8222,2,위험,🔴,20,41.52,90.44,48.92
2024-07-06,25.2,29.3,0.5674,1,주의,🟡,48,49.98,62.41,12.44
2024-07-07,24.9,32.8,0.2549,0,정상,🟢,100,28.04,28.04,0.0
2024-07-08,24.7,16.1,0.8231,2,위험,🔴,20,41.48,90.54,49.06
2024-07-09,24.6,18.2,0.7936,2,위험,🔴,20,42.86,87.3,44.44
2024-07-10,24.5,20.9,0.7936,2,위험,🔴,20,42.86,87.3,44.44
2024-07-11,24.7,22.7,0.8506,2,위험,🔴,20,40.19,93.57,53.38
2024-07-12,25.0,24.4,0.8037,2,위험,🔴,20,42.39,88.4,46.01
2024-07-13,25.3,35.8,0.5674,1,주의,🟡,48,49.98,62.41,12.44
2024-07-14,25.2,37.7,0.5349,1,주의,🟡,54,49.92,58.84,8.92
